gene_name	norm_DE
STK38L	2.9567707343130796e-4
PDGFB	2.949186987494169e-4
SDK1	2.942339998268297e-4
UPP1	2.942339998268297e-4
CBLN3	2.9342267843343074e-4
FRMD4A	2.931460298733767e-4
GOLGA6L7	2.9312684828243073e-4
NPAS2	2.926479032906041e-4
SLAMF6	2.923523810735069e-4
ARHGEF4	2.9229794097090055e-4
H3C6	2.921383502957312e-4
LCN15	2.921026894246284e-4
AC013477.1	2.921026894246284e-4
NFILZ	2.9176501836321707e-4
TTYH2	2.9136558993777466e-4
JADE2	2.9019777245542695e-4
GPR173	2.8992074364505156e-4
PLXNB1	2.892926932588239e-4
E2F2	2.891635363286122e-4
CEP70	2.8901840717424407e-4
SRGAP3	2.8841404829955437e-4
MYO18A	2.876131164214941e-4
TFCP2L1	2.870176335865576e-4
KANK2	2.8688958305243334e-4
NBPF20	2.864919833425836e-4
INHBA	2.862354443842538e-4
NCAM1	2.856336211964952e-4
P2RY10	2.854804038014687e-4
ABCA9	2.850681458376484e-4
AC108941.3	2.850064583652535e-4
TUBB4B	2.8455678667850044e-4
RCSD1	2.8427360899529227e-4
ASS1	2.841448293342143e-4
SCGB3A1	2.840075659873665e-4
CEP85L	2.8375734221220913e-4
BMP6	2.8374429055387127e-4
C3orf70	2.8371002641717455e-4
MMACHC	2.836619701831953e-4
LENG9	2.83439975673627e-4
RBKS	2.832676405158405e-4
SIK1B	2.8306370560180144e-4
SCAMP2	2.8279114723823946e-4
NECAB3	2.825313369358248e-4
IRF7	2.821531448881973e-4
CLEC4C	2.8208009610073575e-4
NRG4	2.815424737046693e-4
CYP8B1	2.814599084492674e-4
AJUBA	2.8031603170448953e-4
RAB38	2.80163084165736e-4
SLC40A1	2.79581237668401e-4
AC098650.1	2.792826815981247e-4
SLC18A1	2.7915942384506605e-4
NSFL1C	2.789575229442375e-4
ITM2A	2.78494044169995e-4
MKNK2	2.78494044169995e-4
C16orf91	2.7840942303892916e-4
SAMD13	2.7817783086921604e-4
S100A13	2.781168660292879e-4
LRRC26	2.779765045581405e-4
KCNC3	2.776095714392692e-4
ATRNL1	2.773497162489573e-4
ANKRD27	2.771357086232712e-4
C8orf58	2.769561961556536e-4
MYO1C	2.7685526381171987e-4
APAF1	2.765836087946036e-4
LINC00514	2.76490470099489e-4
ZNF771	2.763103195360304e-4
NAALADL2	2.762248946611267e-4
MUC19	2.759087663279184e-4
BLZF1	2.756774238152194e-4
ANKRD31	2.749907657055045e-4
EXOSC7	2.748105945276902e-4
LAP3	2.747630973299887e-4
SNAI1	2.7475213908928595e-4
EMILIN1	2.742079743967155e-4
DSTN	2.735571795381491e-4
BCAT1	2.7304343864537794e-4
SLC9A2	2.7289532181088257e-4
ROR2	2.726499525843645e-4
KANSL3	2.725388232345707e-4
SAPCD2	2.725388232345707e-4
MMP17	2.72457113480909e-4
YBX3	2.7217911746686626e-4
SBK3	2.7211598989170996e-4
ENDOU	2.718218550852664e-4
SEMA6A	2.7115502257284727e-4
TACC3	2.7112772080907705e-4
SYT17	2.7095909556222955e-4
LRP12	2.7095909556222955e-4
PLS3	2.7025996365649706e-4
LIMD1	2.683662042312358e-4
BABAM2	2.6811769851805753e-4
INSR	2.681009365123822e-4
TOB2	2.681009365123822e-4
FBLN7	2.6804311666305745e-4
BTBD11	2.679391017340778e-4
PTPRK	2.679391017340778e-4
SNX2	2.6777185137313294e-4
MORN1	2.6753521641190403e-4
GK5	2.673533024603288e-4
PLAG1	2.6708724478520957e-4
TAF4B	2.65862817378539e-4
STRBP	2.65862817378539e-4
TESPA1	2.6563726206661786e-4
SLC6A18	2.655536659561923e-4
RHBDF1	2.651320159069598e-4
MGMT	2.651320159069598e-4
CD300E	2.651179168003149e-4
GJC2	2.649641305785078e-4
ATM	2.6479915365765325e-4
FMNL2	2.6476296836335054e-4
LHX3	2.645052054870796e-4
CTNNA1	2.644887530151603e-4
BTLA	2.641848224365821e-4
TBXA2R	2.640719870353924e-4
ERG	2.640719870353924e-4
CALM1	2.6398381185522006e-4
NR4A1	2.6398021981723183e-4
MB21D2	2.6348171107566323e-4
TAFA5	2.6348171107566323e-4
PRCD	2.630501004083646e-4
KBTBD8	2.6282239162978737e-4
OFD1	2.627813774025145e-4
FRK	2.623548749455437e-4
SCARF1	2.6129254943741944e-4
LIMCH1	2.609831685525446e-4
EXOSC4	2.6096355705152114e-4
MAEL	2.6088059324730806e-4
CPM	2.60771510648914e-4
CPN2	2.605434782750379e-4
PCDHGA11	2.604531379321357e-4
CD9	2.5983525530431174e-4
HAP1	2.596699405994028e-4
TBC1D14	2.5928364849576833e-4
MICALL1	2.592142525242302e-4
SEC11C	2.590920348488631e-4
TMED8	2.5841690896415966e-4
DDN	2.583367933801956e-4
VWF	2.5815461802144426e-4
BCL11A	2.5815461802144426e-4
GPR12	2.5796511982172164e-4
PLN	2.5793580985897403e-4
SLC11A2	2.574467244219059e-4
ARHGAP31	2.5744151967468655e-4
SPAG1	2.573863134830019e-4
QRICH2	2.571940640451979e-4
OR10G8	2.566769459192732e-4
H2AC14	2.566769459192732e-4
PANX1	2.563103133144413e-4
ZNF414	2.5627657764480455e-4
RTP5	2.5563987463185766e-4
DNAH14	2.5547066140617526e-4
PNMA8B	2.5547066140617526e-4
MYCBP2	2.55366362612079e-4
FMNL1	2.55366362612079e-4
GKAP1	2.5513951368619854e-4
P2RY1	2.5509395180837893e-4
MECOM	2.549879806481965e-4
OVOL1	2.549879806481965e-4
PLAAT2	2.548330650191251e-4
SLC16A1	2.5452810832661516e-4
RASD1	2.5448540811409166e-4
HAVCR2	2.5448540811409166e-4
ZDHHC4	2.5448540811409166e-4
PPP1R1C	2.5393024767966197e-4
CD96	2.529733667204361e-4
SCARB1	2.529377446906945e-4
MAOA	2.5279189199753935e-4
MAFF	2.5275061324911907e-4
SLC26A8	2.52617859256825e-4
ANKS1A	2.5245994073155577e-4
TMEM243	2.520951842313113e-4
CPVL	2.5203937272402766e-4
MTUS2	2.5203937272402766e-4
LCT	2.518194342172954e-4
CAMKV	2.513873559627335e-4
H3C14	2.513873559627335e-4
ASPHD2	2.508916519997229e-4
RAB26	2.5052544691482815e-4
SLC7A5	2.505048279522589e-4
BVES	2.505048279522589e-4
OR2T12	2.505048279522589e-4
GRID2IP	2.505048279522589e-4
GCOM1	2.503965992976121e-4
PRKAB1	2.4897877710144007e-4
CD3E	2.4886024292355757e-4
ATP6V1B2	2.486883310693328e-4
APBA2	2.486101038389567e-4
AP000471.1	2.483397825724876e-4
PXDN	2.4801911489134165e-4
IFI44L	2.4770663134503196e-4
HEY2	2.4752888116972004e-4
ADCY6	2.4734787459710966e-4
TDRKH	2.4734787459710966e-4
ACY3	2.472478613149433e-4
IQCK	2.4694976123090047e-4
ARPIN	2.4675661170907927e-4
ISG15	2.4598117156882505e-4
KCNG1	2.458811491806156e-4
IFIT1	2.457053538749754e-4
NACC2	2.455950722022058e-4
TLCD3A	2.455005598457163e-4
URAD	2.453088752769373e-4
SLC38A1	2.449690642150368e-4
KLRF2	2.4438039515660323e-4
ARID5B	2.440443003808831e-4
TTLL8	2.4344402311739856e-4
CHCHD7	2.4315573791674065e-4
ETFB	2.430401163463575e-4
DCHS1	2.4262034534424645e-4
GRB10	2.4256446841921798e-4
HNRNPA1L2	2.4239766375445498e-4
SHISA8	2.4237646274215586e-4
TCF3	2.420695147989063e-4
HSPG2	2.420695147989063e-4
PRR29	2.420695147989063e-4
FP565260.3	2.420695147989063e-4
MYZAP	2.414941306340168e-4
PPP3CC	2.414765420042931e-4
METTL17	2.413171347305333e-4
SESN2	2.4113785053240524e-4
PGM1	2.4100954214314148e-4
MFSD6	2.407912724051792e-4
ITGA1	2.406303923951637e-4
