"","norm_DE"
"ROBO4",0.000345060736166251
"PALM2AKAP2",0.000343530432954381
"SLITRK4",0.000342689803631257
"DPP10",0.000341631098378782
"TAFA1",0.000340992775154481
"AK5",0.000340650173362115
"SOX8",0.000339391050387684
"FAM53A",0.000338609954029205
"WNT8A",0.000337370260870236
"ZNF727",0.000334842794130921
"SIGLEC1",0.000334826255198514
"EIF4A3",0.000334669602465732
"EMID1",0.000334669602465732
"SLC2A10",0.000334565792610283
"NIP7",0.000334377080357665
"KLF2",0.00033409340721445
"MAPKBP1",0.000333088539493741
"CYP7B1",0.000331785786728454
"CACNB3",0.000331275309391398
"PCDHGC4",0.000331261663266609
"RFFL",0.000331212796179875
"TVP23C",0.000331116761727875
"LRP2BP",0.000330777200181138
"ARHGEF39",0.000330273284165428
"BANK1",0.000330097643345226
"SPINK2",0.000330089017494182
"CERS4",0.000329432336481192
"ASPSCR1",0.000329143489822202
"UBE2QL1",0.000328724223349713
"H4C14",0.000328207478762093
"CD24",0.000328118953188715
"PCDHGB1",0.000326947027762708
"STK32B",0.000326818855270433
"MMP2",0.000326560618755629
"KRT73",0.000325913332743203
"IZUMO4",0.00032560126570467
"LRRC3",0.00032560126570467
"PRDX1",0.000325083693536251
"LPXN",0.000324896369471038
"KCNJ12",0.000324708967412908
"SH2D4A",0.000324515924269444
"PPM1J",0.000324095582962941
"TMEM170B",0.000323336924718967
"ILDR2",0.000323197746561773
"PTPN22",0.000323169845528159
"MOB3A",0.000322833181206443
"MST1R",0.000322652584360042
"SMIM41",0.000322652584360042
"PHLPP2",0.000322566716588835
"NTN3",0.000322203446719301
"OSCP1",0.000321813679134314
"CTSW",0.0003201275136011
"HSPA2",0.000319539719976719
"DOK4",0.000318707915848559
"PPP1R37",0.000318555066640082
"SDC2",0.000318104891593105
"HSPB1",0.000317890188226014
"TRIM47",0.00031744296923392
"SLC9A3R2",0.000315994535720077
"NRM",0.000315906538674199
"AC012651.1",0.000315906538674199
"CTSC",0.000315628110128421
"UMODL1",0.000315628110128421
"YRDC",0.000315604325768703
"AGO2",0.000315478224782657
"FZD6",0.000315080161880996
"RUNX3",0.000314393190464091
"HBEGF",0.000314182879834775
"CLEC14A",0.000313931746877989
"PDE7A",0.000311788220632881
"CYTH3",0.000311674364539535
"ZSWIM1",0.000311674364539535
"SPINK4",0.00031123365503972
"ATP11C",0.000310554364189186
"PCDHGA10",0.000310516166948772
"DNMT3L",0.000309852490426301
"FASN",0.000309852490426301
"B4GALNT4",0.000309690474866023
"ADAMTS7",0.000307583009481899
"IFITM3",0.000307583009481899
"ZSCAN25",0.000307504774075064
"TRPM2",0.000307267154842121
"LDB2",0.000307267154842121
"FAM53B",0.000307215344736344
"OR10G4",0.000307119829515296
"TTC21A",0.000306927879082677
"ITIH3",0.000306620360647326
"WDR49",0.000306563703671492
"C1orf174",0.000306563703671492
"MOXD1",0.000306522616980249
"DAGLB",0.000306522616980249
"CCDC81",0.000305755669351258
"FRMD8",0.000305034532227056
"HAVCR1",0.000304256000751998
"ATP8B2",0.000304024215364092
"ABCC9",0.000303717809757152
"TLR10",0.00030350510521975
"TADA1",0.000302656184755187
"HPS4",0.000302242936208834
"STS",0.00030209642786482
"PDE1A",0.000301306187221146
"DAB1",0.000301001328641
"KLRG2",0.000301001328641
"JAG2",0.000300706309780522
"CFAP251",0.000300491857779248
"AP3S2",0.000299690304002416
"PTGER3",0.000299496669610504
"ANP32B",0.000299229690684759
"PCDHGA12",0.000299162911256451
"C9orf43",0.000299141648913525
"RANBP3L",0.000299043772467435
"MARCO",0.000298345390806013
"ADGRF3",0.000297849448430827
"VIPR2",0.000297821866336974
"BDNF",0.000297453339015761
"SLC38A6",0.000296931466698727
"HS3ST3B1",0.000296765852088813
"FGF6",0.000296158541301323
"SOX13",0.000296132733165121
"VWA5B2",0.000295850952755168
"STK38L",0.000295677073431308
"PDGFB",0.000294918698749417
"SDK1",0.00029423399982683
"UPP1",0.00029423399982683
"CBLN3",0.000293422678433431
"FRMD4A",0.000293146029873377
"GOLGA6L7",0.000293126848282431
"NPAS2",0.000292647903290604
"SLAMF6",0.000292352381073507
"ARHGEF4",0.000292297940970901
"H3C6",0.000292138350295731
"LCN15",0.000292102689424628
"AC013477.1",0.000292102689424628
"NFILZ",0.000291765018363217
"TTYH2",0.000291365589937775
"JADE2",0.000290197772455427
"GPR173",0.000289920743645052
"PLXNB1",0.000289292693258824
"E2F2",0.000289163536328612
"CEP70",0.000289018407174244
"SRGAP3",0.000288414048299554
"MYO18A",0.000287613116421494
"TFCP2L1",0.000287017633586558
"KANK2",0.000286889583052433
"NBPF20",0.000286491983342584
"INHBA",0.000286235444384254
"NCAM1",0.000285633621196495
"P2RY10",0.000285480403801469
"ABCA9",0.000285068145837648
"AC108941.3",0.000285006458365253
"TUBB4B",0.0002845567866785
"RCSD1",0.000284273608995292
"ASS1",0.000284144829334214
"SCGB3A1",0.000284007565987366
"CEP85L",0.000283757342212209
"BMP6",0.000283744290553871
"C3orf70",0.000283710026417175
"MMACHC",0.000283661970183195
"LENG9",0.000283439975673627
"RBKS",0.00028326764051584
"SIK1B",0.000283063705601801
"SCAMP2",0.000282791147238239
"NECAB3",0.000282531336935825
"IRF7",0.000282153144888197
"CLEC4C",0.000282080096100736
"NRG4",0.000281542473704669
"CYP8B1",0.000281459908449267
"AJUBA",0.00028031603170449
"RAB38",0.000280163084165736
"SLC40A1",0.000279581237668401
"AC098650.1",0.000279282681598125
"SLC18A1",0.000279159423845066
"NSFL1C",0.000278957522944237
"ITM2A",0.000278494044169995
"MKNK2",0.000278494044169995
"C16orf91",0.000278409423038929
"SAMD13",0.000278177830869216
"S100A13",0.000278116866029288
"LRRC26",0.00027797650455814
"KCNC3",0.000277609571439269
"ATRNL1",0.000277349716248957
"ANKRD27",0.000277135708623271
"C8orf58",0.000276956196155654
"MYO1C",0.00027685526381172
"APAF1",0.000276583608794604
"LINC00514",0.000276490470099489
"ZNF771",0.00027631031953603
"NAALADL2",0.000276224894661127
"MUC19",0.000275908766327918
"BLZF1",0.000275677423815219
"ANKRD31",0.000274990765705505
"EXOSC7",0.00027481059452769
"LAP3",0.000274763097329989
"SNAI1",0.000274752139089286
"EMILIN1",0.000274207974396715
"DSTN",0.000273557179538149
"BCAT1",0.000273043438645378
"SLC9A2",0.000272895321810883
"ROR2",0.000272649952584364
"KANSL3",0.000272538823234571
"SAPCD2",0.000272538823234571
"MMP17",0.000272457113480909
"YBX3",0.000272179117466866
"SBK3",0.00027211598989171
"ENDOU",0.000271821855085266
"SEMA6A",0.000271155022572847
"TACC3",0.000271127720809077
"SYT17",0.00027095909556223
"LRP12",0.00027095909556223
"PLS3",0.000270259963656497
"LIMD1",0.000268366204231236
"BABAM2",0.000268117698518058
"INSR",0.000268100936512382
"TOB2",0.000268100936512382
"FBLN7",0.000268043116663057
"BTBD11",0.000267939101734078
"PTPRK",0.000267939101734078
"SNX2",0.000267771851373133
"MORN1",0.000267535216411904
"GK5",0.000267353302460329
"PLAG1",0.00026708724478521
"TAF4B",0.000265862817378539
"STRBP",0.000265862817378539
"TESPA1",0.000265637262066618
"SLC6A18",0.000265553665956192
"RHBDF1",0.00026513201590696
"MGMT",0.00026513201590696
"CD300E",0.000265117916800315
"GJC2",0.000264964130578508
"ATM",0.000264799153657653
"FMNL2",0.000264762968363351
"LHX3",0.00026450520548708
"CTNNA1",0.00026448875301516
"BTLA",0.000264184822436582
"TBXA2R",0.000264071987035392
"ERG",0.000264071987035392
"CALM1",0.00026398381185522
"NR4A1",0.000263980219817232
"MB21D2",0.000263481711075663
"TAFA5",0.000263481711075663
"PRCD",0.000263050100408365
"KBTBD8",0.000262822391629787
"OFD1",0.000262781377402514
"FRK",0.000262354874945544
"SCARF1",0.000261292549437419
"LIMCH1",0.000260983168552545
"EXOSC4",0.000260963557051521
"MAEL",0.000260880593247308
"CPM",0.000260771510648914
"CPN2",0.000260543478275038
"PCDHGA11",0.000260453137932136
"CD9",0.000259835255304312
"HAP1",0.000259669940599403
"TBC1D14",0.000259283648495768
"MICALL1",0.00025921425252423
"SEC11C",0.000259092034848863
"TMED8",0.00025841690896416
"DDN",0.000258336793380196
"VWF",0.000258154618021444
"BCL11A",0.000258154618021444
"GPR12",0.000257965119821722
"PLN",0.000257935809858974
"SLC11A2",0.000257446724421906
"ARHGAP31",0.000257441519674687
"SPAG1",0.000257386313483002
"QRICH2",0.000257194064045198
"OR10G8",0.000256676945919273
"H2AC14",0.000256676945919273
"PANX1",0.000256310313314441
"ZNF414",0.000256276577644805
"RTP5",0.000255639874631858
"DNAH14",0.000255470661406175
"PNMA8B",0.000255470661406175
"MYCBP2",0.000255366362612079
"FMNL1",0.000255366362612079
"GKAP1",0.000255139513686199
"P2RY1",0.000255093951808379
"MECOM",0.000254987980648197
"OVOL1",0.000254987980648197
"PLAAT2",0.000254833065019125
"SLC16A1",0.000254528108326615
"RASD1",0.000254485408114092
"HAVCR2",0.000254485408114092
"ZDHHC4",0.000254485408114092
"PPP1R1C",0.000253930247679662
"CD96",0.000252973366720436
"SCARB1",0.000252937744690694
"MAOA",0.000252791891997539
"MAFF",0.000252750613249119
"SLC26A8",0.000252617859256825
"ANKS1A",0.000252459940731556
"TMEM243",0.000252095184231311
"CPVL",0.000252039372724028
"MTUS2",0.000252039372724028
"LCT",0.000251819434217295
"CAMKV",0.000251387355962734
"H3C14",0.000251387355962734
"ASPHD2",0.000250891651999723
"RAB26",0.000250525446914828
"SLC7A5",0.000250504827952259
"BVES",0.000250504827952259
"OR2T12",0.000250504827952259
"GRID2IP",0.000250504827952259
"GCOM1",0.000250396599297612
"PRKAB1",0.00024897877710144
"CD3E",0.000248860242923558
"ATP6V1B2",0.000248688331069333
"APBA2",0.000248610103838957
"AP000471.1",0.000248339782572488
"PXDN",0.000248019114891342
"IFI44L",0.000247706631345032
"HEY2",0.00024752888116972
"ADCY6",0.00024734787459711
"TDRKH",0.00024734787459711
"ACY3",0.000247247861314943
"IQCK",0.0002469497612309
"ARPIN",0.000246756611709079
"ISG15",0.000245981171568825
"KCNG1",0.000245881149180616
"IFIT1",0.000245705353874975
"NACC2",0.000245595072202206
"TLCD3A",0.000245500559845716
"URAD",0.000245308875276937
"SLC38A1",0.000244969064215037
"KLRF2",0.000244380395156603
"ARID5B",0.000244044300380883
"TTLL8",0.000243444023117399
"CHCHD7",0.000243155737916741
"ETFB",0.000243040116346357
"DCHS1",0.000242620345344246
"GRB10",0.000242564468419218
"HNRNPA1L2",0.000242397663754455
"SHISA8",0.000242376462742156
"TCF3",0.000242069514798906
"HSPG2",0.000242069514798906
"PRR29",0.000242069514798906
"FP565260.3",0.000242069514798906
"MYZAP",0.000241494130634017
"PPP3CC",0.000241476542004293
"METTL17",0.000241317134730533
"SESN2",0.000241137850532405
"PGM1",0.000241009542143141
"MFSD6",0.000240791272405179
"ITGA1",0.000240630392395164
"GEM",0.000239920317021064
"PACSIN3",0.000239619603431714
"IFNAR2",0.00023931254150117
"STAT2",0.00023931254150117
"VSIG10L",0.00023931254150117
"TDRD15",0.00023931254150117
"ARMC4",0.000239130434764918
"ACTL6B",0.000239059862326695
"FSTL5",0.000238925143189616
"SMURF2",0.000238440098538717
"DSC2",0.000238440098538717
"DLL3",0.000238270046061701
"SH2B2",0.000238210836574123
"ENPP2",0.000238078347640021
"BCL2L14",0.000238051591148395
"MED21",0.000238047600884347
"TSEN54",0.000237915971722459
"RIMBP2",0.000237612477566527
"NRARP",0.000237612477566527
"AC099489.1",0.000237419351057959
"OR2C1",0.000237369134015108
"AKAP6",0.000237287818005646
"NDUFAF6",0.000236534410836983
"OLIG1",0.000236520511605946
"KALRN",0.000236468127183483
"CCDC96",0.000236468127183483
"PIGA",0.000236459021753738
"SUCLG1",0.000235525277614585
"C17orf107",0.000235446245971594
"H4C13",0.000235343848553707
"YARS1",0.000234937165443671
"THSD1",0.000234541852840905
"OR52H1",0.000234541852840905
"SLC18B1",0.000233418665017837
"NFATC4",0.000233032632335108
"LHX6",0.000232753122984496
"NEK10",0.000232462507237265
"LANCL3",0.000231761351668369
"NR3C1",0.000231617413354635
"ELOVL7",0.000231617413354635
"NWD1",0.000231343232225376
"TENM4",0.000231077141912488
"ING1",0.000231077141912488
"CGNL1",0.000231061849902128
"B4GALT4",0.000230909154672652
"RHBDD3",0.000229486530400017
"GPR27",0.000229436051051131
"TBC1D9",0.000229393179080236
"H3C13",0.000229339256737609
"OAS2",0.000229310222307304
"LRRFIP2",0.000229192452057056
"AP003071.5",0.000229136525056232
"FOSL1",0.000229068664037439
"DMXL2",0.000228627947215066
"CDX2",0.000228472616291974
"C1orf50",0.000228211281940522
"H2AC19",0.000227915299315774
"PTGIS",0.000227492960170238
"GAB1",0.000227398160109486
"H4C15",0.000227092647380686
"TRPC4AP",0.000226179107094019
"GATD3B",0.000225650231897341
"DIRAS1",0.000225500100135282
"PARP15",0.000225103768688287
"TDRD9",0.000225090595766292
"TIGD3",0.000224890646505651
"ACSM1",0.000224751877961625
"SIPA1L2",0.000224678022903157
"ST6GALNAC3",0.000224631748657689
"ARHGAP6",0.000224525925314053
"GALNT14",0.000224463327281387
"CD40",0.000224032993549394
"GLDC",0.000223922529477959
"FUT4",0.000223702482710286
"FGF13",0.000223668131637062
"WDR17",0.000223487649308456
"GPC2",0.000223379235669839
"PRRG2",0.000223329518868686
"GOLGA3",0.000223107827781439
"KRT17",0.000223018761824448
"LGALS4",0.000222966460632522
"ANKRD20A1",0.000222966460632522
"MTHFD1L",0.000222762821873421
"PPIF",0.000222749409232871
"FAM163B",0.000222749409232871
"CDH2",0.000222687055107709
"SPHK1",0.000222687055107709
"RNF215",0.000222596316283479
"GPR85",0.000222596316283479
"PRKCQ",0.000222013405609748
"SEMA4D",0.000222013405609748
"C22orf23",0.000221674992189262
"MAML2",0.000221668634044228
"SLC2A3",0.000221529534509885
"GPNMB",0.000221322516727237
"SSTR2",0.000221311309221715
"C12orf57",0.000221279677798403
"PTPRD",0.00022123184506089
"TSTD2",0.000221027759727041
"C21orf91",0.000220784877839777
"KCNJ8",0.000220286066549088
"PRR14",0.000220286066549088
"SLC19A2",0.000220219035058751
"NRL",0.000220219035058751
"NPPC",0.000220219035058751
"CARHSP1",0.000219891691529449
"PRKX",0.000219678076363346
"CLEC2D",0.000219298897669833
"SLC25A33",0.000219065826613916
"LIMS2",0.000219056671989995
"POGLUT2",0.000219056671989995
"PM20D1",0.000219056671989995
"IL6ST",0.000218846278216147
"ANKRD16",0.000218583992913202
"PHF20",0.000218548128565684
"FOLH1",0.00021817513214562
"CRACR2A",0.00021817513214562
"TMEM221",0.000218045885607157
"SMAD6",0.000217765870695112
"SHTN1",0.000217765870695112
"FRMD4B",0.000217477212763784
"FAM167A",0.000217354657744689
"OR10G7",0.000217354657744689
"ZNF497",0.000217236948856514
"TPCN1",0.000217103296650971
"TESK1",0.000217037417021233
"PEX5L",0.000217015300032645
"ADAM33",0.000217015300032645
"CCL23",0.000217012351045921
"CD276",0.000216764900769096
"ELOVL5",0.000216538432465549
"FAM166A",0.000216352804895159
"HSD17B7",0.000215869870170022
"GATA3",0.000215784568653959
"TACC2",0.000215784568653959
"SIGLEC12",0.000215784568653959
"ACSM3",0.000215716224088437
"UBASH3A",0.000215716224088437
"HRNR",0.000215703425150726
"IRS2",0.000215278116301716
"MYLIP",0.000215078245517902
"KCNS3",0.000215050796050289
"PRDX2",0.000214890260416311
"FLG",0.000214641748995248
"ESAM",0.000214456913699313
"TUBA8",0.000214291648222261
